F5_SAMPLE_DESCRIPTION	F5 Sample Type	F5 CAGE Lib ID	F5 Sample Description
ACUTE_MYELOID_LEUKEMIA_FAB_M4EO_CELL_LINE:EOL_1	cell_line	CNhs13056	acute myeloid leukemia (FAB M4eo) cell line:EoL-1
ACUTE_MYELOID_LEUKEMIA_FAB_M4_CELL_LINE:HNT_34	cell_line	CNhs13504	acute myeloid leukemia (FAB M4) cell line:HNT-34
ACUTE_MYELOID_LEUKEMIA_FAB_M4_CELL_LINE:FKH_1	cell_line	CNhs13503	acute myeloid leukemia (FAB M4) cell line:FKH-1
ACUTE_MYELOID_LEUKEMIA_FAB_M3_CELL_LINE:HL60	cell_line	CNhs13055	acute myeloid leukemia (FAB M3) cell line:HL60
ACUTE_MYELOID_LEUKEMIA_FAB_M1_CELL_LINE:HYT_1	cell_line	CNhs13054	acute myeloid leukemia (FAB M1) cell line:HYT-1
ACUTE_MYELOID_LEUKEMIA_FAB_M0_CELL_LINE:KG_1	cell_line	CNhs13053	acute myeloid leukemia (FAB M0) cell line:KG-1
CHRONIC_MYELOGENOUS_LEUKEMIA_CELL_LINE:K562_ENCODE	cell_line	CNhs12336#CNhs12335#CNhs12334	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3#chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2#chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1
B_LYMPHOBLASTOID_CELL_LINE:_GM12878_ENCODE	cell_line	CNhs12333#CNhs12332#CNhs12331	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3#B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2#B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1
HEPATOCELLULAR_CARCINOMA_CELL_LINE:_HEPG2_ENCODE	cell_line	CNhs12330#CNhs12329#CNhs12328	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3#hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2#hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1
EPITHELOID_CARCINOMA_CELL_LINE:_HELAS3_ENCODE	cell_line	CNhs12327#CNhs12326#CNhs12325	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3#epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2#epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1
NORMAL_EMBRYONIC_PALATAL_MESENCHYMAL_CELL_LINE:HEPM	cell_line	CNhs11894	normal embryonic palatal mesenchymal cell line:HEPM
NORMAL_INTESTINAL_EPITHELIAL_CELL_LINE:FHS_74_INT	cell_line	CNhs11950	normal intestinal epithelial cell line:FHs 74 Int
ADRENAL_CORTEX_ADENOCARCINOMA_CELL_LINE:SW_13	cell_line	CNhs11893	adrenal cortex adenocarcinoma cell line:SW-13
WILMS_TUMOR_CELL_LINE:G_401	cell_line	CNhs11892	Wilms' tumor cell line:G-401
HEREDITARY_SPHEROCYTIC_ANEMIA_CELL_LINE:WIL2_NS	cell_line	CNhs11891	hereditary spherocytic anemia cell line:WIL2-NS
TERATOCARCINOMA_CELL_LINE:PA_1	cell_line	CNhs11890	teratocarcinoma cell line:PA-1
ANAPLASTIC_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:RPMI_2650	cell_line	CNhs11889	anaplastic squamous cell carcinoma cell line:RPMI 2650
THYMIC_CARCINOMA_CELL_LINE:TY_82	cell_line	CNhs14139	thymic carcinoma cell line:Ty-82
ACUTE_MYELOID_LEUKEMIA_FAB_M7_CELL_LINE:MKPL_1	cell_line	CNhs11888	acute myeloid leukemia (FAB M7) cell line:MKPL-1
CHRONIC_MYELOBLASTIC_LEUKEMIA_CML_CELL_LINE:KCL_22	cell_line	CNhs11886	chronic myeloblastic leukemia (CML) cell line:KCL-22
SMALL_CELL_CERVICAL_CANCER_CELL_LINE:HCSC_1	cell_line	CNhs11885	small cell cervical cancer cell line:HCSC-1
TERATOCARCINOMA_CELL_LINE:NCR_G1	cell_line	CNhs11884	teratocarcinoma cell line:NCR-G1
TUBULAR_ADENOCARCINOMA_CELL_LINE:SUIT_2	cell_line	CNhs11883	tubular adenocarcinoma cell line:SUIT-2
ADENOCARCINOMA_CELL_LINE:IM95M	cell_line	CNhs11882	adenocarcinoma cell line:IM95m
ANAPLASTIC_LARGE_CELL_LYMPHOMA_CELL_LINE:KI_JK	cell_line	CNhs11881	anaplastic large cell lymphoma cell line:Ki-JK
ACUTE_MYELOID_LEUKEMIA_FAB_M2_CELL_LINE:KASUMI_6	cell_line	CNhs13052	acute myeloid leukemia (FAB M2) cell line:Kasumi-6
KERATOACANTHOMA_CELL_LINE:HKA_1	cell_line	CNhs11880	keratoacanthoma cell line:HKA-1
TERATOCARCINOMA_CELL_LINE:NCC_IT_A3	cell_line	CNhs11878	teratocarcinoma cell line:NCC-IT-A3
ACUTE_MYELOID_LEUKEMIA_FAB_M0_CELL_LINE:KASUMI_3	cell_line	CNhs13241	acute myeloid leukemia (FAB M0) cell line:Kasumi-3
ACUTE_MYELOID_LEUKEMIA_FAB_M2_CELL_LINE:KASUMI_1	cell_line	CNhs13502	acute myeloid leukemia (FAB M2) cell line:Kasumi-1
RHABDOMYOSARCOMA_CELL_LINE:KYM_1	cell_line	CNhs11877	rhabdomyosarcoma cell line:KYM-1
TESTICULAR_GERM_CELL_EMBRYONAL_CARCINOMA_CELL_LINE:ITO_II	cell_line	CNhs11876	testicular germ cell embryonal carcinoma cell line:ITO-II
CHORIOCARCINOMA_CELL_LINE:SCH	cell_line	CNhs11875	choriocarcinoma cell line:SCH
MUCINOUS_CYSTADENOCARCINOMA_CELL_LINE:MCAS	cell_line	CNhs11873	mucinous cystadenocarcinoma cell line:MCAS
THYROID_CARCINOMA_CELL_LINE:TCO_1	cell_line	CNhs11872	thyroid carcinoma cell line:TCO-1
LIPOSARCOMA_CELL_LINE:KMLS_1	cell_line	CNhs11870	liposarcoma cell line:KMLS-1
SOMATOSTATINOMA_CELL_LINE:QGP_1	cell_line	CNhs11869	somatostatinoma cell line:QGP-1
HEPATIC_MESENCHYMAL_TUMOR_CELL_LINE:LI90	cell_line	CNhs11868	hepatic mesenchymal tumor cell line:LI90
NK_T_CELL_LEUKEMIA_CELL_LINE:KHYG_1	cell_line	CNhs11867	NK T cell leukemia cell line:KHYG-1
THYROID_CARCINOMA_CELL_LINE:KHM_5M	cell_line	CNhs14140	thyroid carcinoma cell line:KHM-5M
LYMPHOMA	cell_line	CNhs11935	lymphoma, malignant, hairy B-cell cell line:MLMA
NEUROECTODERMAL_TUMOR_CELL_LINE:TASK1	cell_line	CNhs11866	neuroectodermal tumor cell line:TASK1
MYELODYSPLASTIC_SYNDROME_CELL_LINE:SKM_1	cell_line	CNhs11934	myelodysplastic syndrome cell line:SKM-1
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:P31_FUJ	cell_line	CNhs13051	acute myeloid leukemia (FAB M5) cell line:P31/FUJ
CHRONIC_MYELOGENOUS_LEUKEMIA_CML_CELL_LINE:MEG_A2	cell_line	CNhs11865	chronic myelogenous leukemia (CML) cell line:MEG-A2
ACUTE_MYELOID_LEUKEMIA_FAB_M2_CELL_LINE:NKM_1	cell_line	CNhs11864	acute myeloid leukemia (FAB M2) cell line:NKM-1
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:NOMO_1	cell_line	CNhs13050	acute myeloid leukemia (FAB M5) cell line:NOMO-1
BRONCHIAL_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:KNS_62	cell_line	CNhs11862	bronchial squamous cell carcinoma cell line:KNS-62
MEDULLOBLASTOMA_CELL_LINE:ONS_76	cell_line	CNhs11861	medulloblastoma cell line:ONS-76
FIBROSARCOMA_CELL_LINE:HT_1080	cell_line	CNhs11860	fibrosarcoma cell line:HT-1080
LEUKEMIA	cell_line	CNhs11859	leukemia, chronic megakaryoblastic cell line:MEG-01
MYCOSIS_FUNGOIDES	cell_line	CNhs11858	mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162
LUNG_ADENOCARCINOMA	cell_line	CNhs14245	lung adenocarcinoma, papillary cell line:NCI-H441
SPINDLE_CELL_SARCOMA_CELL_LINE:HS_132.T	cell_line	CNhs11857	spindle cell sarcoma cell line:Hs 132.T
CARCINOID_CELL_LINE:NCI_H727	cell_line	CNhs14244	carcinoid cell line:NCI-H727
PAGETOID_SARCOMA_CELL_LINE:HS_925.T	cell_line	CNhs11856	pagetoid sarcoma cell line:Hs 925.T
NON_SMALL_CELL_LUNG_CANCER_CELL_LINE:NCI_H1385	cell_line	CNhs12193	non-small cell lung cancer cell line:NCI-H1385
NEUROFIBROMA_CELL_LINE:HS_53.T	cell_line	CNhs11854	neurofibroma cell line:Hs 53.T
NEUROEPITHELIOMA_CELL_LINE:SK_N_MC	cell_line	CNhs11853	neuroepithelioma cell line:SK-N-MC
LYMPHANGIECTASIA_CELL_LINE:DS_1	cell_line	CNhs11852	lymphangiectasia cell line:DS-1
LIPOSARCOMA_CELL_LINE:SW_872	cell_line	CNhs11851	liposarcoma cell line:SW 872
PHARYNGEAL_CARCINOMA_CELL_LINE:DETROIT_562	cell_line	CNhs11849	pharyngeal carcinoma cell line:Detroit 562
LEIOMYOSARCOMA_CELL_LINE:HS_5.T	cell_line	CNhs12192	leiomyosarcoma cell line:Hs 5.T
LEIOMYOBLASTOMA_CELL_LINE:G_402	cell_line	CNhs11848	leiomyoblastoma cell line:G-402
CARCINOID_CELL_LINE:SK_PN_DW	cell_line	CNhs11846	carcinoid cell line:SK-PN-DW
BIPHENOTYPIC_B_MYELOMONOCYTIC_LEUKEMIA_CELL_LINE:MV_4_11	cell_line	CNhs11845	biphenotypic B myelomonocytic leukemia cell line:MV-4-11
ACANTHOLYTIC_SQUAMOUS_CARCINOMA_CELL_LINE:HCC1806	cell_line	CNhs11844	acantholytic squamous carcinoma cell line:HCC1806
BRONCHIOALVEOLAR_CARCINOMA_CELL_LINE:NCI_H650	cell_line	CNhs14138	bronchioalveolar carcinoma cell line:NCI-H650
HAIRY_CELL_LEUKEMIA_CELL_LINE:MO	cell_line	CNhs11843	hairy cell leukemia cell line:Mo
FIBROUS_HISTIOCYTOMA_CELL_LINE:GCT_TIB_223	cell_line	CNhs11842	fibrous histiocytoma cell line:GCT TIB-223
BRONCHOGENIC_CARCINOMA_CELL_LINE:CHAGO_K_1	cell_line	CNhs11841	bronchogenic carcinoma cell line:ChaGo-K-1
BRONCHIOALVEOLAR_CARCINOMA_CELL_LINE:NCI_H358	cell_line	CNhs11840	bronchioalveolar carcinoma cell line:NCI-H358
ALVEOLAR_CELL_CARCINOMA_CELL_LINE:SW_1573	cell_line	CNhs11838	alveolar cell carcinoma cell line:SW 1573
TRANSITIONAL_CELL_CARCINOMA_CELL_LINE:HS_769.T	cell_line	CNhs11837	transitional cell carcinoma cell line:Hs 769.T
PLEOMORPHIC_HEPATOCELLULAR_CARCINOMA_CELL_LINE:SNU_387	cell_line	CNhs11933	pleomorphic hepatocellular carcinoma cell line:SNU-387
EWING_S_SARCOMA_CELL_LINE:HS_863.T	cell_line	CNhs11836	Ewing's sarcoma cell line:Hs 863.T
OSTEOCLASTOMA_CELL_LINE:HS_706.T	cell_line	CNhs11835	osteoclastoma cell line:Hs 706.T
CARCINOID_CELL_LINE:NCI_H1770	cell_line	CNhs11834	carcinoid cell line:NCI-H1770
BASAL_CELL_CARCINOMA_CELL_LINE:TE_354.T	cell_line	CNhs11932	basal cell carcinoma cell line:TE 354.T
CHONDROSARCOMA_CELL_LINE:SW_1353	cell_line	CNhs11833	chondrosarcoma cell line:SW 1353
ACUTE_MYELOID_LEUKEMIA_FAB_M7_CELL_LINE:M_MOK	cell_line	CNhs13049	acute myeloid leukemia (FAB M7) cell line:M-MOK
PANCREATIC_CARCINOMA_CELL_LINE:NOR_P1	cell_line	CNhs11832	pancreatic carcinoma cell line:NOR-P1
PERIPHERAL_NEUROECTODERMAL_TUMOR_CELL_LINE:KU_SN	cell_line	CNhs11830	peripheral neuroectodermal tumor cell line:KU-SN
MESODERMAL_TUMOR_CELL_LINE:HIRS_BM	cell_line	CNhs12191	mesodermal tumor cell line:HIRS-BM
SACROCOCCIGEAL_TERATOMA_CELL_LINE:HTST	cell_line	CNhs11829	sacrococcigeal teratoma cell line:HTST
TRIDERMAL_TERATOMA_CELL_LINE:HGRT	cell_line	CNhs11828	tridermal teratoma cell line:HGRT
SEROUS_CYSTADENOCARCINOMA_CELL_LINE:HTOA	cell_line	CNhs11827	serous cystadenocarcinoma cell line:HTOA
LARGE_CELL_NON_KERATINIZING_SQUAMOUS_CARCINOMA_CELL_LINE:SKG_II_SF	cell_line	CNhs11825	large cell non-keratinizing squamous carcinoma cell line:SKG-II-SF
MENINGIOMA_CELL_LINE:HKBMM	cell_line	CNhs11945	meningioma cell line:HKBMM
MIXED_MULLERIAN_TUMOR_CELL_LINE:HTMMT	cell_line	CNhs11944	mixed mullerian tumor cell line:HTMMT
GLASSY_CELL_CARCINOMA_CELL_LINE:HOKUG	cell_line	CNhs11824	glassy cell carcinoma cell line:HOKUG
KRUKENBERG_TUMOR_CELL_LINE:HSKTC	cell_line	CNhs11822	Krukenberg tumor cell line:HSKTC
BONE_MARROW_STROMAL_CELL_LINE:STROMANKTERT	cell_line	CNhs11931	bone marrow stromal cell line:StromaNKtert
MYXOFIBROSARCOMA_CELL_LINE:NMFH_1	cell_line	CNhs11821	myxofibrosarcoma cell line:NMFH-1
NEUROECTODERMAL_TUMOR_CELL_LINE:FU_RPNT_2	cell_line	CNhs11753	neuroectodermal tumor cell line:FU-RPNT-2
MUCINOUS_ADENOCARCINOMA_CELL_LINE:JHOM_1	cell_line	CNhs11752	mucinous adenocarcinoma cell line:JHOM-1
LENS_EPITHELIAL_CELL_LINE:SRA_01_04	cell_line	CNhs11750	lens epithelial cell line:SRA 01/04
SQUAMOUS_CELL_CARCINOMA_CELL_LINE:JHUS_NK1	cell_line	CNhs11749	squamous cell carcinoma cell line:JHUS-nk1
ENDOMETRIOID_ADENOCARCINOMA_CELL_LINE:JHUEM_1	cell_line	CNhs11748	endometrioid adenocarcinoma cell line:JHUEM-1
CARCINOSARCOMA_CELL_LINE:JHUCS_1	cell_line	CNhs11747	carcinosarcoma cell line:JHUCS-1
SEROUS_ADENOCARCINOMA_CELL_LINE:JHOS_2	cell_line	CNhs11746	serous adenocarcinoma cell line:JHOS-2
CLEAR_CELL_CARCINOMA_CELL_LINE:JHOC_5	cell_line	CNhs11745	clear cell carcinoma cell line:JHOC-5
NEUROECTODERMAL_TUMOR_CELL_LINE:FU_RPNT_1	cell_line	CNhs11744	neuroectodermal tumor cell line:FU-RPNT-1
CLEAR_CELL_CARCINOMA_CELL_LINE:TEN	cell_line	CNhs11930	clear cell carcinoma cell line:TEN
HEPATOBLASTOMA_CELL_LINE:HUH_6	cell_line	CNhs11742	hepatoblastoma cell line:HuH-6
DIFFUSE_LARGE_B_CELL_LYMPHOMA_CELL_LINE:CTB_1	cell_line	CNhs11741	diffuse large B-cell lymphoma cell line:CTB-1
GRANULOSA_CELL_TUMOR_CELL_LINE:KGN	cell_line	CNhs11740	granulosa cell tumor cell line:KGN
CHORIOCARCINOMA_CELL_LINE:T3M_3	cell_line	CNhs11820	choriocarcinoma cell line:T3M-3
SQUAMOUS_CELL_CARCINOMA_CELL_LINE:T3M_5	cell_line	CNhs11739	squamous cell carcinoma cell line:T3M-5
GASTROINTESTINAL_CARCINOMA_CELL_LINE:ECC12	cell_line	CNhs11738	gastrointestinal carcinoma cell line:ECC12
GASTRIC_ADENOCARCINOMA_CELL_LINE:MKN1	cell_line	CNhs11737	gastric adenocarcinoma cell line:MKN1
GASTRIC_ADENOCARCINOMA_CELL_LINE:MKN45	cell_line	CNhs11819	gastric adenocarcinoma cell line:MKN45
SMALL_CELL_GASTROINTESTINAL_CARCINOMA_CELL_LINE:ECC10	cell_line	CNhs11736	small cell gastrointestinal carcinoma cell line:ECC10
SMALL_CELL_GASTROINTESTINAL_CARCINOMA_CELL_LINE:ECC4	cell_line	CNhs11734	small-cell gastrointestinal carcinoma cell line:ECC4
NEUROBLASTOMA_CELL_LINE:NBSUSSR	cell_line	CNhs11818	neuroblastoma cell line:NBsusSR
EMBRYONIC_PANCREAS_CELL_LINE:1C3IKEI	cell_line	CNhs11733	embryonic pancreas cell line:1C3IKEI
EMBRYONIC_PANCREAS_CELL_LINE:1C3D3	cell_line	CNhs11732	embryonic pancreas cell line:1C3D3
EMBRYONIC_PANCREAS_CELL_LINE:1B2C6	cell_line	CNhs11731	embryonic pancreas cell line:1B2C6
EMBRYONIC_PANCREAS_CELL_LINE:2C6	cell_line	CNhs11814	embryonic pancreas cell line:2C6
MYXOFIBROSARCOMA_CELL_LINE:MFH_INO	cell_line	CNhs11729	myxofibrosarcoma cell line:MFH-ino
WILMS_TUMOR_CELL_LINE:HFWT	cell_line	CNhs11728	Wilms' tumor cell line:HFWT
TESTICULAR_GERM_CELL_EMBRYONAL_CARCINOMA_CELL_LINE:NEC15	cell_line	CNhs12362	testicular germ cell embryonal carcinoma cell line:NEC15
TESTICULAR_GERM_CELL_EMBRYONAL_CARCINOMA_CELL_LINE:NEC14	cell_line	CNhs12351	testicular germ cell embryonal carcinoma cell line:NEC14
TESTICULAR_GERM_CELL_EMBRYONAL_CARCINOMA_CELL_LINE:NEC8	cell_line	CNhs11726	testicular germ cell embryonal carcinoma cell line:NEC8
ARGYROPHIL_SMALL_CELL_CARCINOMA_CELL_LINE:TC_YIK	cell_line	CNhs11725	argyrophil small cell carcinoma cell line:TC-YIK
LEIOMYOMA_CELL_LINE:15425	cell_line	CNhs11724	leiomyoma cell line:15425
LEIOMYOMA_CELL_LINE:15242A	cell_line	CNhs11723	leiomyoma cell line:15242A
LEIOMYOMA_CELL_LINE:10964C	cell_line	CNhs11722	leiomyoma cell line:10964C
MESENCHYMAL_STEM_CELL_LINE:HU5_E18	cell_line	CNhs11718	mesenchymal stem cell line:Hu5/E18
XERODERMA_PIGENTOSUM_B_CELL_LINE:XPL_17	cell_line	CNhs11813	xeroderma pigentosum b cell line:XPL 17
SMALL_CELL_LUNG_CARCINOMA_CELL_LINE:WA_HT	cell_line	CNhs11812	small cell lung carcinoma cell line:WA-hT
GASTRIC_CANCER_CELL_LINE:GSS	cell_line	CNhs14241	gastric cancer cell line:GSS
OSTEOSARCOMA_CELL_LINE:HS_OS_1	cell_line	CNhs11290	osteosarcoma cell line:HS-Os-1
NEUROBLASTOMA_CELL_LINE:NH_12	cell_line	CNhs11811	neuroblastoma cell line:NH-12
CERVICAL_CANCER_CELL_LINE:ME_180	cell_line	CNhs11289	cervical cancer cell line:ME-180
CERVICAL_CANCER_CELL_LINE:D98_AH2	cell_line	CNhs11288	cervical cancer cell line:D98-AH2
ORAL_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:HO_1_U_1	cell_line	CNhs11287	oral squamous cell carcinoma cell line:HO-1-u-1
GASTRIC_CANCER_CELL_LINE:AZ521	cell_line	CNhs11286	gastric cancer cell line:AZ521
ORAL_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:HSC_3	cell_line	CNhs11717	oral squamous cell carcinoma cell line:HSC-3
ORAL_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:SAS	cell_line	CNhs11810	oral squamous cell carcinoma cell line:SAS
SMALL_CELL_LUNG_CARCINOMA_CELL_LINE:LK_2	cell_line	CNhs11285	small cell lung carcinoma cell line:LK-2
NEUROBLASTOMA_CELL_LINE:NB_1	cell_line	CNhs11284	neuroblastoma cell line:NB-1
CHOLANGIOCELLULAR_CARCINOMA_CELL_LINE:HUH_28	cell_line	CNhs11283	cholangiocellular carcinoma cell line:HuH-28
ACUTE_LYMPHOBLASTIC_LEUKEMIA_B_ALL_CELL_LINE:NALM_6	cell_line	CNhs11282	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6
MELANOMA_CELL_LINE:COLO_679	cell_line	CNhs11281	melanoma cell line:COLO 679
COLON_CARCINOMA_CELL_LINE:CACO_2	cell_line	CNhs11280	colon carcinoma cell line:CACO-2
OSTEOSARCOMA_CELL_LINE:143B_TK^_NEO^R	cell_line	CNhs11279	osteosarcoma cell line:143B/TK^(-)neo^(R)
LARGE_CELL_LUNG_CARCINOMA_CELL_LINE:IA_LM	cell_line	CNhs11277	large cell lung carcinoma cell line:IA-LM
NEUROBLASTOMA_CELL_LINE:CHP_134	cell_line	CNhs11276	neuroblastoma cell line:CHP-134
SQUAMOUS_CELL_LUNG_CARCINOMA_CELL_LINE:RERF_LC_AI	cell_line	CNhs14240	squamous cell lung carcinoma cell line:RERF-LC-AI
LUNG_ADENOCARCINOMA_CELL_LINE:A549	cell_line	CNhs11275	lung adenocarcinoma cell line:A549
ENDOMETRIAL_CARCINOMA_CELL_LINE:OMC_2	cell_line	CNhs11266	endometrial carcinoma cell line:OMC-2
BILE_DUCT_CARCINOMA_CELL_LINE:TFK_1	cell_line	CNhs11265	bile duct carcinoma cell line:TFK-1
EPITHELIOID_SARCOMA_CELL_LINE:HS_ES_2R	cell_line	CNhs14239	epithelioid sarcoma cell line:HS-ES-2R
MESOTHELIOMA_CELL_LINE:ACC_MESO_4	cell_line	CNhs11264	mesothelioma cell line:ACC-MESO-4
MESOTHELIOMA_CELL_LINE:ACC_MESO_1	cell_line	CNhs11263	mesothelioma cell line:ACC-MESO-1
TRANSITIONAL_CELL_CARCINOMA_CELL_LINE:JMSU1	cell_line	CNhs11261	transitional-cell carcinoma cell line:JMSU1
PROSTATE_CANCER_CELL_LINE:DU145	cell_line	CNhs11260	prostate cancer cell line:DU145
DUCTAL_CELL_CARCINOMA_CELL_LINE:MIA_PACA2	cell_line	CNhs11259	ductal cell carcinoma cell line:MIA Paca2
GIANT_CELL_CARCINOMA_CELL_LINE:LU65	cell_line	CNhs11274	giant cell carcinoma cell line:LU65
SQUAMOUS_CELL_LUNG_CARCINOMA_CELL_LINE:EBC_1	cell_line	CNhs11273	squamous cell lung carcinoma cell line:EBC-1
GLIOBLASTOMA_CELL_LINE:T98G	cell_line	CNhs11272	glioblastoma cell line:T98G
HEPATOMA_CELL_LINE:LI_7	cell_line	CNhs11271	hepatoma cell line:Li-7
SIGNET_RING_CARCINOMA_CELL_LINE:NUGC_4	cell_line	CNhs11270	signet ring carcinoma cell line:NUGC-4
BREAST_CARCINOMA_CELL_LINE:MCF7	cell_line	CNhs11943	breast carcinoma cell line:MCF7
RHABDOMYOSARCOMA_CELL_LINE:RMS_YM	cell_line	CNhs11269	rhabdomyosarcoma cell line:RMS-YM
BURKITT_S_LYMPHOMA_CELL_LINE:RAJI	cell_line	CNhs11268	Burkitt's lymphoma cell line:RAJI
RETINOBLASTOMA_CELL_LINE:Y79	cell_line	CNhs11267	retinoblastoma cell line:Y79
MYELOMA_CELL_LINE:PCM6	cell_line	CNhs11258	myeloma cell line:PCM6
RENAL_CELL_CARCINOMA_CELL_LINE:TUHR10TKB	cell_line	CNhs11257	renal cell carcinoma cell line:TUHR10TKB
GALL_BLADDER_CARCINOMA_CELL_LINE:TGBC14TKB	cell_line	CNhs11256	gall bladder carcinoma cell line:TGBC14TKB
